dataset_scale,world_model_architecture,world_model_checkpoint,strategy,seed,episode_return,episode_length,action_clipped_fraction,runtime_seconds,planning_or_inference_seconds,mean_planner_or_inference_latency_seconds,median_planner_or_inference_latency_seconds,model_evaluations,source
M-100,GRU,G:\PAI\outputs\checkpoints\world_model_ib_m100_gru_epoch_035.pt,iCEM,44,-2655547.7570110336,1000,0.0,38.58511870005168,38.28452200209722,0.03828452200209722,0.03710025001782924,999970,main_system_matrix
M-100,GRU,G:\PAI\outputs\checkpoints\world_model_ib_m100_gru_epoch_035.pt,iCEM,45,-2644830.252996041,1000,0.0,39.49872720008716,39.19389129919,0.03919389129919,0.037657849956303835,999970,main_system_matrix
M-100,GRU,G:\PAI\outputs\checkpoints\world_model_ib_m100_gru_epoch_035.pt,iCEM,46,-2643416.1405195976,1000,0.0,38.40794269996695,38.10847019823268,0.03810847019823268,0.037000800017267466,999970,main_system_matrix
M-100,GRU,G:\PAI\outputs\checkpoints\world_model_ib_m100_gru_epoch_035.pt,MPPI,42,-341601.2142669747,1000,0.0,27.824532399885356,27.466085398104042,0.02746608539810404,0.02729935012757778,5120000,main_system_matrix
M-100,GRU,G:\PAI\outputs\checkpoints\world_model_ib_m100_gru_epoch_035.pt,MPPI,43,-353794.3278912382,1000,0.0,27.75138429994695,27.390620801365003,0.027390620801365003,0.027295549982227385,5120000,main_system_matrix
M-100,GRU,G:\PAI\outputs\checkpoints\world_model_ib_m100_gru_epoch_035.pt,MPPI,44,-349793.77947422385,1000,0.0,27.966912999982014,27.609519898192957,0.027609519898192957,0.027547699981369078,5120000,main_system_matrix
M-100,GRU,G:\PAI\outputs\checkpoints\world_model_ib_m100_gru_epoch_035.pt,MPPI,45,-341445.4029809411,1000,0.0,28.745696400059387,28.383251497987658,0.028383251497987656,0.02836734999436885,5120000,main_system_matrix
M-100,GRU,G:\PAI\outputs\checkpoints\world_model_ib_m100_gru_epoch_035.pt,MPPI,46,-354420.2971970663,1000,0.0,29.228444299893454,28.855627700919285,0.028855627700919286,0.028734699939377606,5120000,main_system_matrix
M-100,GRU,G:\PAI\outputs\checkpoints\world_model_ib_m100_gru_epoch_035.pt,MB-PPO+KL,42,-281236.21065652085,1000,0.0,1.1945734999608248,0.9248069957830012,0.0009248069957830012,0.0008584000170230865,0,main_system_matrix
M-100,GRU,G:\PAI\outputs\checkpoints\world_model_ib_m100_gru_epoch_035.pt,MB-PPO+KL,43,-280977.3799004331,1000,0.0,1.5408340999856591,1.2163445961195976,0.0012163445961195975,0.0011147999903187156,0,main_system_matrix
M-100,GRU,G:\PAI\outputs\checkpoints\world_model_ib_m100_gru_epoch_035.pt,MB-PPO+KL,44,-281021.37981215084,1000,0.0,1.5325461998581886,1.2450182987377048,0.0012450182987377048,0.000917550059966743,0,main_system_matrix
M-100,GRU,G:\PAI\outputs\checkpoints\world_model_ib_m100_gru_epoch_035.pt,MB-PPO+KL,45,-280831.7991939523,1000,0.0,1.0458702000323683,0.822287596296519,0.000822287596296519,0.0007450999692082405,0,main_system_matrix
M-100,GRU,G:\PAI\outputs\checkpoints\world_model_ib_m100_gru_epoch_035.pt,MB-PPO+KL,46,-280976.8476346353,1000,0.0,1.3360679000616074,1.0377634051255882,0.0010377634051255882,0.0009485000045970082,0,main_system_matrix
M-1000,Transformer-2L,G:\PAI\outputs\checkpoints\world_model_ib_m1000_transformer2_fair_epoch_020.pt,CEM,42,-268543.524206437,1000,0.0,34.113030900014564,33.842643899610266,0.03384264389961027,0.032881350023671985,1280000,main_system_matrix
M-1000,Transformer-2L,G:\PAI\outputs\checkpoints\world_model_ib_m1000_transformer2_fair_epoch_020.pt,CEM,43,-267700.01597938954,1000,0.0,34.49399310001172,34.22189800045453,0.03422189800045453,0.03307430003769696,1280000,main_system_matrix
M-1000,Transformer-2L,G:\PAI\outputs\checkpoints\world_model_ib_m1000_transformer2_fair_epoch_020.pt,CEM,44,-267330.3465224918,1000,0.0,35.50631980015896,35.22912949998863,0.03522912949998863,0.03419380006380379,1280000,main_system_matrix
M-1000,Transformer-2L,G:\PAI\outputs\checkpoints\world_model_ib_m1000_transformer2_fair_epoch_020.pt,CEM,45,-267622.60810103203,1000,0.0,34.430013000033796,34.15579810156487,0.03415579810156487,0.03290190000552684,1280000,main_system_matrix
M-1000,Transformer-2L,G:\PAI\outputs\checkpoints\world_model_ib_m1000_transformer2_fair_epoch_020.pt,CEM,46,-267935.1876861843,1000,0.0,34.21603880007751,33.943159504793584,0.03394315950479358,0.03294840001035482,1280000,main_system_matrix
M-1000,Transformer-2L,G:\PAI\outputs\checkpoints\world_model_ib_m1000_transformer2_fair_epoch_020.pt,MB-PPO+KL,42,-285590.07143098745,1000,0.0,1.1032114999834448,0.8654492024797946,0.0008654492024797947,0.0007904500234872103,0,main_system_matrix
M-1000,Transformer-2L,G:\PAI\outputs\checkpoints\world_model_ib_m1000_transformer2_fair_epoch_020.pt,MB-PPO+KL,43,-285166.6173692539,1000,0.0,1.5105413999408484,1.1933747997973114,0.0011933747997973114,0.0010558500653132796,0,main_system_matrix
M-1000,Transformer-2L,G:\PAI\outputs\checkpoints\world_model_ib_m1000_transformer2_fair_epoch_020.pt,MB-PPO+KL,44,-285378.29994061874,1000,0.0,1.5466814001556486,1.2515146969817579,0.001251514696981758,0.0010726499604061246,0,main_system_matrix
M-1000,Transformer-2L,G:\PAI\outputs\checkpoints\world_model_ib_m1000_transformer2_fair_epoch_020.pt,MB-PPO+KL,45,-285160.7103582655,1000,0.0,1.6045389999635518,1.309487903257832,0.0013094879032578318,0.001101749949157238,0,main_system_matrix
M-1000,Transformer-2L,G:\PAI\outputs\checkpoints\world_model_ib_m1000_transformer2_fair_epoch_020.pt,MB-PPO+KL,46,-285335.3620354265,1000,0.0,1.683376400033012,1.381252605235204,0.001381252605235204,0.0011493000201880932,0,main_system_matrix
M-10000,Transformer-2L,G:\PAI\outputs\checkpoints\world_model_ib_m10000_transformer2_fair_epoch_004.pt,CEM,42,-269450.55057262955,1000,0.0,34.48202560003847,34.206306502223015,0.03420630650222301,0.03293869993649423,1280000,main_system_matrix
M-10000,Transformer-2L,G:\PAI\outputs\checkpoints\world_model_ib_m10000_transformer2_fair_epoch_004.pt,CEM,43,-269242.7340274588,1000,0.0,33.92290319991298,33.65331819606945,0.03365331819606945,0.03247295005712658,1280000,main_system_matrix
M-10000,Transformer-2L,G:\PAI\outputs\checkpoints\world_model_ib_m10000_transformer2_fair_epoch_004.pt,CEM,44,-268459.25718440703,1000,0.0,33.898599199950695,33.62968890112825,0.033629688901128246,0.03263835015241057,1280000,main_system_matrix
M-10000,Transformer-2L,G:\PAI\outputs\checkpoints\world_model_ib_m10000_transformer2_fair_epoch_004.pt,CEM,45,-269260.14067664574,1000,0.0,34.62279469985515,34.34684000024572,0.034346840000245724,0.03338930010795593,1280000,main_system_matrix
M-10000,Transformer-2L,G:\PAI\outputs\checkpoints\world_model_ib_m10000_transformer2_fair_epoch_004.pt,CEM,46,-269677.90963436174,1000,0.0,29.128437499981374,28.88439839752391,0.028884398397523908,0.024901550030335784,1280000,main_system_matrix
M-10000,Transformer-2L,G:\PAI\outputs\checkpoints\world_model_ib_m10000_transformer2_fair_epoch_004.pt,MB-PPO+KL,42,-285544.99418654304,1000,0.0,0.7243325000163168,0.5752670005895197,0.0005752670005895197,0.0005240000318735838,0,main_system_matrix
M-10000,Transformer-2L,G:\PAI\outputs\checkpoints\world_model_ib_m10000_transformer2_fair_epoch_004.pt,MB-PPO+KL,43,-285533.3958476722,1000,0.0,1.2040448000188917,0.9528003006707877,0.0009528003006707877,0.0008910499745979905,0,main_system_matrix
M-10000,Transformer-2L,G:\PAI\outputs\checkpoints\world_model_ib_m10000_transformer2_fair_epoch_004.pt,MB-PPO+KL,44,-285174.6497904242,1000,0.0,1.0865600001998246,0.8866501015145332,0.0008866501015145331,0.00080439995508641,0,main_system_matrix
M-10000,Transformer-2L,G:\PAI\outputs\checkpoints\world_model_ib_m10000_transformer2_fair_epoch_004.pt,MB-PPO+KL,45,-284993.09070492536,1000,0.0,1.1839004000648856,0.9729834964964539,0.0009729834964964538,0.0008629000512883067,0,main_system_matrix
M-10000,Transformer-2L,G:\PAI\outputs\checkpoints\world_model_ib_m10000_transformer2_fair_epoch_004.pt,MB-PPO+KL,46,-284841.1876762576,1000,0.0,1.3186459001153708,1.096069901715964,0.0010960699017159641,0.0009587999666109681,0,main_system_matrix
