evaluation_source,system,sample_id,episode_return
NeoRL dataset trajectories,Original Behavior,210,-280592.875
NeoRL dataset trajectories,Original Behavior,211,-282796.125
NeoRL dataset trajectories,Original Behavior,212,-283956.25
NeoRL dataset trajectories,Original Behavior,213,-283412.6875
NeoRL dataset trajectories,Original Behavior,214,-282374.21875
NeoRL dataset trajectories,Original Behavior,215,-282287.46875
NeoRL dataset trajectories,Original Behavior,216,-282959.0
NeoRL dataset trajectories,Original Behavior,217,-283063.9375
NeoRL dataset trajectories,Original Behavior,218,-282833.125
NeoRL dataset trajectories,Original Behavior,219,-282487.3125
NeoRL dataset trajectories,Original Behavior,220,-284244.3125
NeoRL dataset trajectories,Original Behavior,221,-282523.28125
NeoRL dataset trajectories,Original Behavior,222,-283900.1875
NeoRL dataset trajectories,Original Behavior,223,-282979.96875
NeoRL dataset trajectories,Original Behavior,224,-283905.25
NeoRL dataset trajectories,Original Behavior,225,-283474.40625
NeoRL dataset trajectories,Original Behavior,226,-282535.5625
NeoRL dataset trajectories,Original Behavior,227,-282903.90625
NeoRL dataset trajectories,Original Behavior,228,-282902.40625
NeoRL dataset trajectories,Original Behavior,229,-284761.4375
NeoRL dataset trajectories,Original Behavior,230,-284478.65625
NeoRL dataset trajectories,Original Behavior,231,-283079.3125
NeoRL dataset trajectories,Original Behavior,232,-282978.84375
NeoRL dataset trajectories,Original Behavior,233,-281974.125
NeoRL dataset trajectories,Original Behavior,234,-283150.25
NeoRL dataset trajectories,Original Behavior,235,-282644.8125
NeoRL dataset trajectories,Original Behavior,236,-282992.15625
NeoRL dataset trajectories,Original Behavior,237,-283068.25
NeoRL dataset trajectories,Original Behavior,238,-283189.5
NeoRL dataset trajectories,Original Behavior,239,-278708.1875
NeoRL dataset trajectories,Original Behavior,240,-283819.0
NeoRL dataset trajectories,Original Behavior,241,-282491.75
NeoRL dataset trajectories,Original Behavior,242,-284737.21875
NeoRL dataset trajectories,Original Behavior,243,-280823.5625
NeoRL dataset trajectories,Original Behavior,244,-282457.3125
