condition,gradient_step,model_reward_mean,model_reward_min,model_state_abs_max,policy_loss,value_loss,behavior_kl,entropy,approx_old_policy_kl,clip_fraction,actor_grad_norm,value_grad_norm
with behavior KL,3400,-284.0173034667969,-355.6282653808594,202.6076202392578,0.2315241545438766,1075470.75,0.1224736869335174,0.9186915159225464,0.2430354654788971,0.75390625,107.14735412597656,21522.9140625
with behavior KL,3500,-284.8020935058594,-349.42022705078125,195.147216796875,-0.0215029176324605,1001413.5,0.1180055290460586,0.942973256111145,0.055900752544403,0.4921875,33.57524490356445,20402.18359375
with behavior KL,3600,-285.381103515625,-354.6352844238281,204.75669860839844,-0.0292489752173423,994805.0,0.0844213739037513,0.9132421612739564,0.042409673333168,0.47265625,54.89081954956055,20306.61328125
with behavior KL,3700,-283.8681335449219,-354.04119873046875,199.1026763916016,0.1725695133209228,1059760.5,0.1350036859512329,0.8783618211746216,0.0927029177546501,0.6640625,110.38965606689452,21293.439453125
with behavior KL,3800,-283.5541687011719,-342.9127197265625,201.97622680664065,0.0573557168245315,1011105.875,0.1176896542310714,0.9342264533042908,0.107523538172245,0.56640625,83.45291900634766,20745.05859375
with behavior KL,3900,-283.8979797363281,-357.3035888671875,199.31375122070312,0.0055484678596258,994562.875,0.1070591956377029,0.9262843728065492,0.0557159557938575,0.5,57.29435348510742,20543.103515625
with behavior KL,4000,-285.2615966796875,-357.6566772460937,202.1603240966797,0.0042574172839522,1008401.625,0.1768409013748169,0.8953066468238831,0.1445631980895996,0.62890625,79.15926361083984,20457.27734375
with behavior KL,4100,-285.99725341796875,-362.179931640625,208.72103881835935,0.0417585000395774,992501.375,0.1213265433907508,0.9239574670791626,0.1744364649057388,0.734375,103.81795501708984,20449.55859375
with behavior KL,4200,-283.181640625,-354.6419982910156,202.6076202392578,0.0479243136942386,1027453.75,0.0875977128744125,0.9392242431640624,0.0659862160682678,0.50390625,27.733932495117188,20872.103515625
with behavior KL,4300,-282.6894226074219,-352.0833740234375,200.53477478027344,0.1217457950115203,1052708.875,0.1134873330593109,0.9060912132263184,0.2018473446369171,0.734375,62.34251403808594,21207.939453125
with behavior KL,4400,-283.9284973144531,-349.1977844238281,200.53477478027344,-0.0480209961533546,973807.625,0.1151143237948417,0.918140709400177,0.0441399253904819,0.33984375,61.47723388671875,20210.791015625
with behavior KL,4500,-284.4235534667969,-359.22235107421875,201.3256683349609,0.1100953817367553,999829.375,0.1135033667087555,0.9317824840545654,0.167032390832901,0.68359375,66.23905181884766,20565.150390625
with behavior KL,4600,-285.9472351074219,-358.9588317871094,203.34957885742188,-0.1555826067924499,929762.5625,0.1556306630373001,0.8982416391372681,0.0631928741931915,0.34375,88.64338684082031,19402.3671875
with behavior KL,4700,-284.9242858886719,-359.0072631835937,196.8477478027344,0.0839234218001365,1036757.6875,0.1003924757242202,0.9175080060958862,0.1236128956079483,0.62109375,47.24580001831055,20868.609375
with behavior KL,4800,-285.2624206542969,-349.2730712890625,186.90399169921875,0.162016212940216,1137526.25,0.1012644171714782,0.8963638544082642,0.0338132865726947,0.2578125,59.22549057006836,22331.34375
with behavior KL,4900,-286.32940673828125,-352.8358764648437,198.7563323974609,0.0082702990621328,1010061.375,0.1065755486488342,0.9073057174682616,0.0992086082696914,0.5625,74.78345489501953,20605.97265625
with behavior KL,5000,-284.2421569824219,-357.82763671875,195.961669921875,0.0680819898843765,1027034.625,0.0682860612869262,0.8892678022384644,0.0939148962497711,0.546875,56.53976440429688,21040.677734375
